Gender,Race,Ethnicity,ExactAge,FlooredAge,AgeGroup,StudyID
Feminine,White,Not Hispanic,20.054794520547944,20,Adults,1
Feminine,White,Not Hispanic,19.106849315068494,19,Adults,2
Feminine,Black or African American,Not Hispanic,20.065753424657533,20,Adults,3
Masculine,White,Not Hispanic,18.77260273972603,18,Adults,4
Masculine,White,Not Hispanic,20.54685230930459,20,Adults,5
Feminine,Asian,Not Hispanic,20.39654914289992,20,Adults,6
Feminine,Mixed Race,Not Hispanic,20.584991391571226,20,Adults,7
Feminine,White,Hispanic,11.61917808219178,11,Children,8
Masculine,White,Hispanic,10.972602739726028,10,Children,9
Feminine,Mixed Race,Not Hispanic,11.808219178082192,11,Children,10
Feminine,Not Captured by Options,Hispanic,11.652054794520549,11,Children,11
Masculine,White,Not Hispanic,16.669907927240065,16,Adolescents,12
Masculine,Mixed Race,Not Reported,18.106849315068494,18,Adults,13
Feminine,White,Not Hispanic,17.413698630136988,17,Adolescents,14
Feminine,White,Not Hispanic,16.762639419118198,16,Adolescents,15
Feminine,White,Not Hispanic,17.115068493150684,17,Adolescents,16
Masculine,Not Reported,Hispanic,16.8992664121566,16,Adolescents,17
Masculine,White,Not Hispanic,17.643835616438356,17,Adolescents,18
Masculine,White,Not Hispanic,18.087671232876712,18,Adults,19
Masculine,Not Captured by Options,Not Hispanic,16.66974324425481,16,Adolescents,20
Feminine,White,Not Hispanic,16.481233625271354,16,Adolescents,21
Masculine,Black or African American,Not Hispanic,17.224657534246575,17,Adolescents,22
Feminine,White,Not Hispanic,13.03013698630137,13,Adolescents,23
Feminine,White,Not Reported,16.83917957930983,16,Adolescents,24
Feminine,White,Not Hispanic,17.22739726027397,17,Adolescents,25
Feminine,Not Captured by Options,Not Hispanic,18.136986301369863,18,Adults,26
Masculine,White,Not Hispanic,14.610958904109587,14,Adolescents,27
Masculine,Not Reported,Hispanic,20.21076427876338,20,Adults,28
Feminine,White,Not Hispanic,15.904109589041097,15,Adolescents,29
Feminine,Mixed Race,Not Hispanic,17.578082191780823,17,Adolescents,30
Feminine,White,Not Hispanic,16.953986076802156,16,Adolescents,31
Feminine,White,Not Hispanic,17.03013698630137,17,Adolescents,32
Feminine,White,Not Hispanic,17.835616438356166,17,Adolescents,33
Masculine,Black or African American,Not Hispanic,20.421266561868403,20,Adults,34
Feminine,White,Not Hispanic,17.476712328767125,17,Adolescents,35
Feminine,White,Not Hispanic,17.517808219178082,17,Adolescents,36
Feminine,White,Not Hispanic,16.97858372632682,16,Adolescents,37
Feminine,White,Not Hispanic,16.183479302342988,16,Adolescents,38
Masculine,Asian,Not Hispanic,20.77368815031065,20,Adults,39
Feminine,White,Not Hispanic,15.35890410958904,15,Adolescents,40
Masculine,White,Not Hispanic,12.320128752152108,12,Children,41
Feminine,White,Not Hispanic,16.951321206677147,16,Adolescents,42
Feminine,Asian,Not Hispanic,18.13972602739726,18,Adults,43
Feminine,White,Hispanic,19.76986301369863,19,Adults,44
Feminine,White,Hispanic,18.372602739726027,18,Adults,45
Masculine,Black or African American,Not Hispanic,13.97808219178082,13,Adolescents,46
Masculine,White,Not Hispanic,13.753424657534246,13,Adolescents,47
Masculine,Mixed Race,Not Hispanic,12.850213339321805,12,Children,48
Masculine,Mixed Race,Not Hispanic,14.03835616438356,14,Adolescents,49
Feminine,White,Hispanic,20.598869675873942,20,Adults,50
Feminine,White,Not Hispanic,20.593360281458192,20,Adults,51
Masculine,White,Not Hispanic,13.142465753424656,13,Adolescents,52
Masculine,Asian,Not Hispanic,12.527816453327343,12,Children,53
Feminine,Asian,Not Hispanic,20.112328767123287,20,Adults,54
Feminine,Asian,Not Hispanic,20.67537989370462,20,Adults,55
Feminine,Not Reported,Not Reported,20.09315068493151,20,Adults,56
Masculine,White,Not Hispanic,15.02191780821918,15,Adolescents,57
Masculine,White,Not Hispanic,11.60821917808219,11,Children,58
Masculine,White,Not Hispanic,11.597260273972603,11,Children,59
Masculine,White,Not Hispanic,11.635616438356164,11,Children,60
Masculine,Asian,Not Hispanic,12.03013698630137,12,Children,61
Masculine,White,Not Hispanic,11.64109589041096,11,Children,62
Masculine,White,Not Hispanic,13.323287671232876,13,Adolescents,63
Masculine,White,Not Hispanic,12.866629238715472,12,Children,64
Masculine,White,Not Hispanic,12.795598472939592,12,Children,65
Feminine,White,Not Hispanic,10.975342465753425,10,Children,66
Feminine,Not Captured by Options,Not Hispanic,14.942465753424658,14,Adolescents,67
Feminine,Mixed Race,Hispanic,15.827397260273973,15,Adolescents,68
Feminine,White,Not Hispanic,12.965124635077476,12,Children,69
Feminine,White,Not Hispanic,13.534246575342465,13,Adolescents,70
Feminine,White,Not Hispanic,11.441095890410958,11,Children,71
Masculine,White,Not Hispanic,12.167123287671233,12,Children,72
Masculine,White,Not Hispanic,13.936986301369863,13,Adolescents,73
Feminine,Mixed Race,Not Hispanic,13.715068493150683,13,Adolescents,74
Feminine,Mixed Race,Hispanic,13.441095890410958,13,Adolescents,75
Feminine,White,Not Hispanic,13.884931506849314,13,Adolescents,76
Feminine,Asian,Not Hispanic,13.01917808219178,13,Adolescents,77
Feminine,Mixed Race,Not Hispanic,12.550011228385358,12,Children,78
Feminine,Mixed Race,Not Hispanic,13.115068493150686,13,Adolescents,79
Masculine,Asian,Not Hispanic,15.27945205479452,15,Adolescents,80
Masculine,Mixed Race,Not Hispanic,15.512328767123288,15,Adolescents,81
Masculine,White,Not Reported,14.73972602739726,14,Adolescents,82
Masculine,White,Not Hispanic,16.24931506849315,16,Adolescents,83
Masculine,Mixed Race,Not Hispanic,12.3886144172468,12,Children,84
Masculine,White,Hispanic,15.054794520547944,15,Adolescents,85
