incon_acc,con_acc,perf,num_trials,StudyID
0.7692307692307693,1,-0.23076923076923073,27,8
0.7142857142857143,0.9285714285714286,-0.2142857142857143,28,22
0.6923076923076923,1,-0.3076923076923077,27,54
0.9285714285714286,1,-0.0714285714285714,27,62
0.9285714285714286,0.9230769230769232,0.00549450549450547,27,64
1,0.9285714285714286,0.0714285714285714,28,66
0.9285714285714286,0.6923076923076923,0.2362637362637363,27,72
0.9285714285714286,1,-0.0714285714285714,28,80
0.9230769230769232,1,-0.07692307692307687,27,86
0.8461538461538461,1,-0.15384615384615383,27,108
1,1,0,27,116
1,1,0,27,121
1,1,0,26,125
0.9285714285714286,1,-0.0714285714285714,28,126
1,1,0,27,136
0.9285714285714286,1,-0.0714285714285714,28,137
1,1,0,28,139
0.6428571428571429,0.8571428571428571,-0.2142857142857142,28,142
0.9230769230769232,0.9285714285714286,-0.00549450549450547,27,151
1,0.9285714285714286,0.0714285714285714,27,1
0.8461538461538461,1,-0.15384615384615383,27,3
0.9285714285714286,1,-0.0714285714285714,28,20
1,0.9285714285714286,0.0714285714285714,27,31
0.8571428571428571,1,-0.1428571428571429,28,35
0.8571428571428571,0.8571428571428571,0,28,41
1,0.9230769230769232,0.07692307692307687,27,49
0.9285714285714286,1,-0.0714285714285714,27,56
1,0.9230769230769232,0.07692307692307687,27,65
1,0.9285714285714286,0.0714285714285714,28,67
1,0.9285714285714286,0.0714285714285714,28,75
1,1,0,28,81
1,1,0,28,84
0.8461538461538461,1,-0.15384615384615383,27,92
0.6923076923076923,1,-0.3076923076923077,27,93
0.9285714285714286,0.9230769230769232,0.00549450549450547,27,100
0.7857142857142857,0.9230769230769232,-0.13736263736263743,27,113
0.9285714285714286,1,-0.0714285714285714,28,118
1,1,0,26,127
0.7857142857142857,0.9285714285714286,-0.1428571428571429,28,114
1,0.9230769230769232,0.07692307692307687,27,2
1,1,0,28,5
0.8461538461538461,1,-0.15384615384615383,27,9
0.8571428571428571,1,-0.1428571428571429,28,17
1,1,0,27,24
