item_1,item_2,item_3,item_4,item_5,item_6,webb_total,StudyID
5,4,5,5,5,4,28,3
4,4,3,3,4,4,22,1
4,4,4,4,3,3,22,2
3,4,3,3,4,4,21,7
2,2,1,1,2,3,11,4
4,4,5,3,2,1,19,6
4,4,4,4,4,4,24,28
5,5,5,5,5,5,30,26
4,5,5,5,3,4,26,5
4,4,4,4,4,4,24,43
5,5,5,5,5,5,30,39
4,4,5,4,4,5,26,51
4,4,4,4,4,4,24,54
5,5,5,5,3,3,26,44
4,4,4,4,3,3,22,45
5,5,5,5,5,5,30,56
5,5,5,5,3,5,28,34
4,4,5,5,2,3,23,13
4,4,5,5,4,4,26,50
5,4,5,4,2,2,22,55
4,4,4,5,3,3,23,19
5,4,4,4,4,5,26,115
4,5,5,5,4,2,25,116
5,5,5,4,3,3,25,128
4,4,4,4,4,4,24,130
5,4,5,5,5,4,28,126
4,4,4,5,5,3,25,124
4,4,5,4,3,3,23,134
3,4,4,4,4,4,23,132
4,4,5,4,2,3,22,125
4,4,4,4,5,5,26,123
5,5,5,5,5,5,30,129
4,5,5,4,2,1,21,127
5,5,5,4,4,4,27,133
3,5,5,4,2,3,22,147
4,4,4,4,4,4,24,144
3,4,5,5,1,2,20,150
4,4,3,3,2,4,20,146
4,3,4,4,3,4,22,145
2,3,2,3,2,3,15,151
5,5,5,5,3,5,28,149
5,5,5,5,5,5,30,152
5,4,4,4,3,5,25,10
4,4,4,4,4,4,24,8
3,3,3,3,3,5,20,11
5,4,5,5,5,5,29,20
3,5,5,5,4,5,27,15
4,5,5,5,5,5,29,22
4,4,5,5,4,5,27,21
4,4,4,4,4,4,24,17
4,5,3,2,2,2,18,18
5,5,5,5,5,5,30,16
4,5,5,5,4,5,28,25
4,4,4,4,3,2,21,24
5,5,5,5,5,5,30,27
4,3,4,3,2,2,18,36
4,4,4,3,4,4,23,23
3,4,4,3,2,2,18,38
3,3,2,4,3,3,18,33
5,5,5,5,5,4,29,40
5,5,5,5,4,2,26,31
4,4,4,4,2,2,20,32
4,4,4,4,4,4,24,14
4,4,4,5,2,2,21,37
4,4,4,4,3,3,22,29
3,4,4,4,3,1,19,41
3,2,2,4,2,2,15,46
4,5,3,5,3,5,25,9
5,4,3,4,4,3,23,60
5,4,4,4,2,5,24,57
4,4,3,3,3,3,20,48
5,5,3,4,3,3,23,49
4,5,4,5,3,2,23,62
4,5,5,4,4,5,27,42
1,2,2,2,1,1,9,47
5,3,5,4,3,4,24,53
4,4,5,4,5,5,27,12
4,4,3,4,3,3,21,64
5,5,5,5,4,5,29,52
5,5,5,5,5,5,30,65
4,4,4,4,2,4,22,59
4,4,4,3,2,2,19,35
5,4,5,4,5,5,28,58
4,5,4,4,2,3,22,61
3,3,3,3,3,3,18,63
5,5,5,5,4,5,29,30
4,4,3,4,2,2,19,84
1,4,3,2,4,3,17,74
4,4,5,5,4,4,26,89
4,4,5,4,4,4,25,88
4,5,5,4,3,5,26,69
3,4,4,4,3,5,23,67
5,5,5,4,5,5,29,71
4,4,3,5,4,3,23,73
4,3,4,5,2,3,21,80
4,5,5,5,3,3,25,91
4,3,4,5,4,3,23,86
4,4,4,4,4,4,24,92
3,4,4,4,4,4,23,70
4,4,4,4,4,4,24,77
4,5,5,5,3,3,25,68
5,4,4,4,3,5,25,93
4,4,3,3,1,2,17,76
4,4,5,5,3,4,25,82
3,4,4,4,1,3,19,83
5,5,5,5,4,4,28,87
3,3,5,5,3,5,24,79
4,4,4,4,5,3,24,101
4,4,4,4,4,5,25,94
5,3,4,3,4,3,22,105
4,5,5,5,4,5,28,96
2,4,5,5,3,3,22,81
4,4,3,3,4,3,21,98
4,4,4,4,4,5,25,107
4,4,4,4,4,4,24,106
4,3,4,3,3,3,20,99
4,4,4,4,3,5,24,102
5,5,5,4,4,3,26,113
4,4,3,4,5,4,24,103
5,5,5,5,4,5,29,118
5,5,5,5,5,4,29,109
3,4,5,5,4,4,25,108
5,5,5,5,4,4,28,90
3,5,4,5,1,4,22,95
4,4,4,5,5,4,26,75
4,4,4,4,3,4,23,111
4,4,4,5,4,4,25,85
3,4,2,3,4,3,19,121
4,4,4,3,3,4,22,117
4,3,4,3,4,3,21,72
3,4,4,5,5,2,23,110
3,4,4,4,3,4,22,97
3,4,4,5,3,4,23,131
5,5,5,5,3,5,28,119
3,4,3,4,2,2,18,138
3,4,4,4,3,2,20,78
4,4,4,4,4,4,24,137
3,4,4,3,3,2,19,122
5,3,5,5,5,4,27,100
4,2,4,3,3,5,21,142
4,4,5,3,3,2,21,136
4,4,5,5,5,5,28,120
4,4,5,5,5,5,28,135
2,4,4,3,3,5,21,141
5,4,5,5,5,5,29,66
4,5,5,5,3,2,24,148
3,4,4,4,2,2,19,139
3,4,5,2,4,5,23,143
5,4,5,5,4,5,28,140
4,4,4,5,4,4,25,153
5,4,5,5,2,2,23,156
3,4,5,2,5,3,22,104
4,4,5,5,2,3,23,157
4,4,5,4,3,4,24,154
5,4,5,4,4,5,27,155
3,4,4,4,3,3,21,114
